loss, accuracy, val_loss, val_accuracy
9.8276, 0.1404, 2.2207, 0.1671
2.4613, 0.1712, 2.2422, 0.1402
2.1784, 0.2253, 2.1565, 0.1568
2.0788, 0.2503, 2.0159, 0.2152
1.9617, 0.2961, 1.8599, 0.3080
1.8627, 0.3413, 1.7400, 0.3303
1.7568, 0.3880, 1.5729, 0.4585
1.6791, 0.4205, 1.4928, 0.4659
1.5924, 0.4441, 1.4085, 0.5278
1.5183, 0.4793, 1.2876, 0.5999
1.4860, 0.5005, 1.2387, 0.6102
1.4397, 0.5072, 1.2149, 0.6176
1.3843, 0.5343, 1.1872, 0.6176
1.3447, 0.5399, 1.1481, 0.6142
1.3160, 0.5596, 1.0840, 0.6480
1.2882, 0.5669, 1.0562, 0.6382
1.2403, 0.5934, 0.9956, 0.6817
1.2193, 0.5857, 0.9741, 0.6869
1.1832, 0.6069, 0.9460, 0.6903
1.1689, 0.6178, 0.9042, 0.7069
1.1494, 0.6212, 0.9004, 0.7161
1.1208, 0.6369, 0.8845, 0.7127
1.1038, 0.6384, 0.8680, 0.7293
1.0878, 0.6450, 0.8599, 0.7224
1.0563, 0.6462, 0.8377, 0.7396
1.0448, 0.6523, 0.7854, 0.7544
1.0581, 0.6548, 0.8171, 0.7447
1.0308, 0.6614, 0.7865, 0.7493
1.0068, 0.6770, 0.7811, 0.7550
1.0240, 0.6627, 0.7880, 0.7556
0.9930, 0.6743, 0.7469, 0.7722
0.9808, 0.6759, 0.7629, 0.7550
0.9714, 0.6870, 0.7222, 0.7676
0.9556, 0.6903, 0.6930, 0.7916
0.9509, 0.6908, 0.7308, 0.7728
0.9256, 0.7035, 0.6912, 0.7808
0.9277, 0.6971, 0.6841, 0.7825
0.9128, 0.7068, 0.7019, 0.7710
0.9291, 0.6931, 0.7253, 0.7773
0.9222, 0.7025, 0.6998, 0.7894
0.9051, 0.7049, 0.6775, 0.7894
0.8908, 0.7097, 0.7022, 0.7865
0.9048, 0.7072, 0.6851, 0.7956
0.8810, 0.7117, 0.6953, 0.7825
0.8753, 0.7088, 0.6611, 0.8111
0.9075, 0.7034, 0.6604, 0.8031
0.8484, 0.7217, 0.6452, 0.8037
0.8488, 0.7240, 0.6383, 0.8111
0.8378, 0.7294, 0.6350, 0.8128
0.8506, 0.7334, 0.6296, 0.8054
0.8659, 0.7195, 0.6336, 0.8122
0.8326, 0.7303, 0.5973, 0.8271
0.8570, 0.7297, 0.6398, 0.8037
0.8190, 0.7316, 0.6134, 0.8248
0.8310, 0.7316, 0.6010, 0.8197
0.8173, 0.7472, 0.6239, 0.8105
0.8149, 0.7323, 0.6003, 0.8306
0.8174, 0.7354, 0.6078, 0.8203
0.7960, 0.7369, 0.6048, 0.8237
0.8310, 0.7288, 0.5982, 0.8231
0.7935, 0.7436, 0.5675, 0.8317
0.8094, 0.7420, 0.6068, 0.8174
0.8033, 0.7359, 0.5826, 0.8334
0.8126, 0.7390, 0.5978, 0.8311
0.8065, 0.7341, 0.5818, 0.8288
0.7953, 0.7453, 0.5735, 0.8317
0.7913, 0.7459, 0.5648, 0.8311
0.7658, 0.7519, 0.5681, 0.8392
0.7758, 0.7503, 0.5715, 0.8329
0.7718, 0.7490, 0.5807, 0.8311
0.7479, 0.7592, 0.5798, 0.8317
0.7588, 0.7532, 0.5367, 0.8414
0.7927, 0.7493, 0.5674, 0.8380
0.7686, 0.7513, 0.5739, 0.8300
0.7583, 0.7485, 0.5643, 0.8306
0.7698, 0.7542, 0.5710, 0.8374
0.7671, 0.7503, 0.5627, 0.8449
0.7551, 0.7515, 0.5328, 0.8443
0.7592, 0.7518, 0.5394, 0.8426
0.7643, 0.7550, 0.5425, 0.8517
0.7456, 0.7560, 0.5519, 0.8432
0.7443, 0.7571, 0.5727, 0.8243
0.7570, 0.7555, 0.5373, 0.8397
0.7324, 0.7598, 0.5675, 0.8271
0.7425, 0.7576, 0.5337, 0.8426
0.7444, 0.7542, 0.5447, 0.8397
0.7244, 0.7678, 0.5370, 0.8380
0.7350, 0.7639, 0.5371, 0.8477
0.7191, 0.7684, 0.5326, 0.8517
0.7445, 0.7612, 0.5427, 0.8432
0.7391, 0.7585, 0.5584, 0.8437
0.7257, 0.7634, 0.5548, 0.8386
0.7156, 0.7655, 0.5392, 0.8432
0.7233, 0.7655, 0.5293, 0.8489
0.7172, 0.7645, 0.5308, 0.8466
0.7307, 0.7638, 0.5325, 0.8489
0.7059, 0.7702, 0.5704, 0.8271
0.7437, 0.7522, 0.5445, 0.8346
0.7229, 0.7652, 0.5206, 0.8437
0.7201, 0.7672, 0.5321, 0.8449
